,word,score 1 ,score 2,score 3,score 4,score 5,score 6 ,scores,average
0,access rights,0,0,2,-1,2,0,"[0, 0, 2, -1, 2, 0]",0.5
1,accrual,2,0,2,-1,2,0,"[2, 0, 2, -1, 2, 0]",0.8333333333333334
2,affordable,2,4,2,4,2,4,"[2, 4, 2, 4, 2, 4]",3.0
3,analytics,3,1,0,1,1,0,"[3, 1, 0, 1, 1, 0]",1.0
4,android,-1,0,0,-1,-2,0,"[-1, 0, 0, -1, -2, 0]",-0.6666666666666666
5,answer,2,2,2,2,1,0,"[2, 2, 2, 2, 1, 0]",1.5
6,app,-1,-1,2,1,2,0,"[-1, -1, 2, 1, 2, 0]",0.5
7,applicant tracking,1,0,2,1,2,0,"[1, 0, 2, 1, 2, 0]",1.0
8,applicants,3,1,3,3,2,0,"[3, 1, 3, 3, 2, 0]",2.0
9,authentication,2,2,2,-1,2,0,"[2, 2, 2, -1, 2, 0]",1.1666666666666667
10,bi-weekly,-1,0,0,1,2,0,"[-1, 0, 0, 1, 2, 0]",0.3333333333333333
11,boss,-2,-1,1,1,-1,-1,"[-2, -1, 1, 1, -1, -1]",-0.5
12,breaks,2,0,3,3,2,1,"[2, 0, 3, 3, 2, 1]",1.8333333333333333
13,clock in,1,-1,1,0,2,0,"[1, -1, 1, 0, 2, 0]",0.5
14,clock out,2,0,1,0,-2,0,"[2, 0, 1, 0, -2, 0]",0.16666666666666666
15,communicate,1,2,3,4,3,1,"[1, 2, 3, 4, 3, 1]",2.3333333333333335
16,communication,2,2,3,4,3,2,"[2, 2, 3, 4, 3, 2]",2.6666666666666665
17,compensation,2,1,2,3,2,0,"[2, 1, 2, 3, 2, 0]",1.6666666666666667
18,compensation planning,-1,-1,1,1,3,0,"[-1, -1, 1, 1, 3, 0]",0.5
19,compliance,2,0,2,0,-2,3,"[2, 0, 2, 0, -2, 3]",0.8333333333333334
20,compliant,2,3,2,-1,0,3,"[2, 3, 2, -1, 0, 3]",1.5
21,contact,-1,2,2,2,1,1,"[-1, 2, 2, 2, 1, 1]",1.1666666666666667
22,contributions,-1,3,3,3,0,2,"[-1, 3, 3, 3, 0, 2]",1.6666666666666667
